epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,13947.3,1.11178,1.17527,1.37287,0.82604,0.69031,0.78084,0.53166,1.2244,0.92791,1.52448,0.007096,0.007096,0.007096
90,14103.6,1.11025,1.18173,1.37546,0.80259,0.71909,0.78931,0.53606,1.22525,0.92924,1.52147,0.007063,0.007063,0.007063
91,14259.7,1.10374,1.1536,1.36731,0.85501,0.67761,0.78311,0.53219,1.21986,0.91549,1.51856,0.00703,0.00703,0.00703
92,14416.1,1.10391,1.15339,1.36741,0.83614,0.69456,0.78749,0.53331,1.21955,0.92621,1.5204,0.006997,0.006997,0.006997
93,14572.4,1.10883,1.1435,1.37156,0.85189,0.67662,0.78197,0.53877,1.21831,0.91679,1.52151,0.006964,0.006964,0.006964
94,14729.1,1.09313,1.12068,1.35491,0.82573,0.71568,0.78963,0.53937,1.20689,0.91498,1.50808,0.006931,0.006931,0.006931
95,14885.7,1.09609,1.13624,1.36006,0.85762,0.69397,0.7962,0.54974,1.19775,0.90471,1.49752,0.006898,0.006898,0.006898
96,15042.1,1.0905,1.12828,1.36282,0.82749,0.70551,0.79174,0.54449,1.20671,0.90842,1.50416,0.006865,0.006865,0.006865
97,15198.7,1.09004,1.13475,1.36013,0.86258,0.6741,0.78236,0.54751,1.19666,0.91476,1.49808,0.006832,0.006832,0.006832
98,15354.9,1.07687,1.10201,1.34501,0.82511,0.70234,0.79138,0.54933,1.20036,0.91186,1.49469,0.006799,0.006799,0.006799
99,15511,1.07322,1.09222,1.34572,0.84189,0.70437,0.79426,0.55249,1.1808,0.90302,1.48502,0.006766,0.006766,0.006766
100,15667.5,1.08091,1.09909,1.34716,0.82058,0.7203,0.79992,0.55962,1.17544,0.88276,1.48278,0.006733,0.006733,0.006733
101,15824,1.07781,1.10662,1.34719,0.84425,0.70522,0.80192,0.56372,1.16881,0.86863,1.47445,0.0067,0.0067,0.0067
102,15980.6,1.07738,1.10612,1.34468,0.88292,0.6655,0.7985,0.55904,1.17219,0.86652,1.48196,0.006667,0.006667,0.006667
103,16136.9,1.06446,1.07876,1.33661,0.84272,0.69874,0.79326,0.55769,1.1749,0.86404,1.48263,0.006634,0.006634,0.006634
104,16293.1,1.06123,1.07783,1.33121,0.8306,0.70944,0.79341,0.56058,1.16769,0.86443,1.47816,0.006601,0.006601,0.006601
105,16449.1,1.06907,1.07945,1.33663,0.82967,0.71331,0.79368,0.55879,1.16308,0.86887,1.47151,0.006568,0.006568,0.006568
106,16605.2,1.06642,1.07476,1.33664,0.83856,0.69617,0.79388,0.56213,1.16089,0.86869,1.46978,0.006535,0.006535,0.006535
107,16761.7,1.05855,1.08125,1.33686,0.87161,0.6845,0.79596,0.56442,1.16267,0.86189,1.47274,0.006502,0.006502,0.006502
108,16917.7,1.0418,1.04743,1.32257,0.82873,0.7132,0.80354,0.56913,1.15415,0.8538,1.46474,0.006469,0.006469,0.006469
109,17073.7,1.0532,1.07993,1.33032,0.8664,0.6949,0.79902,0.56457,1.16131,0.85693,1.47177,0.006436,0.006436,0.006436
110,17229.7,1.04311,1.05805,1.31976,0.87483,0.69651,0.80167,0.56562,1.16111,0.86274,1.47651,0.006403,0.006403,0.006403
111,17385.8,1.04093,1.04854,1.31994,0.85829,0.70933,0.80557,0.56937,1.15411,0.84921,1.46826,0.00637,0.00637,0.00637
112,17541.9,1.04042,1.04611,1.32142,0.86593,0.69304,0.80337,0.56992,1.13971,0.84625,1.45424,0.006337,0.006337,0.006337
113,17698,1.03281,1.05143,1.31293,0.83626,0.71068,0.80299,0.56972,1.14279,0.8501,1.45455,0.006304,0.006304,0.006304
114,17853.9,1.03508,1.03434,1.30967,0.85793,0.70739,0.8062,0.57401,1.14033,0.85383,1.45303,0.006271,0.006271,0.006271
115,18010.2,1.02612,1.01966,1.30307,0.8085,0.739,0.81149,0.57503,1.12992,0.84029,1.44566,0.006238,0.006238,0.006238
116,18166.6,1.02882,1.02807,1.30995,0.87137,0.70777,0.81047,0.57884,1.12134,0.84137,1.43448,0.006205,0.006205,0.006205
117,18322.8,1.02471,1.0311,1.30514,0.84684,0.70107,0.80541,0.57771,1.11825,0.83962,1.4313,0.006172,0.006172,0.006172
118,18478.8,1.01964,1.03957,1.30933,0.86201,0.6996,0.80974,0.58028,1.11906,0.83434,1.43352,0.006139,0.006139,0.006139
119,18635,1.01636,1.02022,1.30271,0.84504,0.70553,0.80976,0.58145,1.11585,0.8303,1.43162,0.006106,0.006106,0.006106
120,18791.1,1.02183,1.02085,1.30044,0.87405,0.70637,0.8102,0.58234,1.11306,0.83233,1.43305,0.006073,0.006073,0.006073
121,18947.2,1.01674,1.00344,1.29612,0.82218,0.72192,0.80588,0.5834,1.11538,0.83269,1.43774,0.00604,0.00604,0.00604
122,19103.4,1.01541,1.01228,1.2973,0.85702,0.71275,0.80504,0.58438,1.1103,0.82927,1.43075,0.006007,0.006007,0.006007
123,19259.6,1.00154,0.99337,1.29198,0.83462,0.72971,0.81545,0.58877,1.1134,0.81855,1.43414,0.005974,0.005974,0.005974
124,19415.7,0.99926,0.98962,1.28622,0.85573,0.72801,0.81555,0.59104,1.11298,0.81223,1.43219,0.005941,0.005941,0.005941
125,19571.6,1.02388,1.01644,1.29682,0.85041,0.72347,0.80964,0.59307,1.11214,0.80687,1.43104,0.005908,0.005908,0.005908
126,19727.7,0.98958,0.97268,1.275,0.8395,0.72251,0.81005,0.58953,1.11687,0.81118,1.43466,0.005875,0.005875,0.005875
127,19884,1.00463,0.99324,1.28712,0.8825,0.69846,0.80858,0.58989,1.11921,0.81341,1.43882,0.005842,0.005842,0.005842
128,20040.1,0.99432,0.98149,1.28334,0.89116,0.701,0.81885,0.5921,1.10796,0.81059,1.42693,0.005809,0.005809,0.005809
129,20196.6,0.98797,0.97066,1.28137,0.89121,0.70503,0.81934,0.59154,1.10554,0.80348,1.42577,0.005776,0.005776,0.005776
